Time,Competitor,Operation,OrderId,Instrument,Side,Volume,Price,Lifespan,Fee
0.272401,10L_120212,Insert,1,1.0,B,40,127600.0,G,
0.272463,10L_120212,Insert,2,1.0,A,40,128400.0,G,
0.461631,10L_120212,Cancel,1,,,-40,,,
0.46168,10L_120212,Insert,3,1.0,B,40,127700.0,G,
0.774346,10L_120212,Cancel,2,,,-40,,,
0.774575,10L_120212,Insert,4,1.0,A,40,128300.0,G,
0.802509,10L_120212,Cancel,3,,,-40,,,
0.802565,10L_120212,Insert,5,1.0,B,40,127900.0,G,
1.02347,10L_120212,Cancel,5,,,-40,,,
1.023511,10L_120212,Cancel,4,,,-40,,,
1.023544,10L_120212,Insert,6,1.0,B,40,127800.0,G,
1.023593,10L_120212,Insert,7,1.0,A,40,128500.0,G,
1.268361,10L_120212,Cancel,6,,,-40,,,
1.26843,10L_120212,Cancel,7,,,-40,,,
1.268468,10L_120212,Insert,8,1.0,B,40,128000.0,G,
1.268521,10L_120212,Insert,9,1.0,A,40,128700.0,G,
1.739472,10L_120212,Cancel,9,,,-40,,,
1.739515,10L_120212,Insert,10,1.0,A,40,128600.0,G,
1.809911,10L_120212,Cancel,10,,,-40,,,
1.809996,10L_120212,Insert,11,1.0,A,40,128400.0,G,
2.008052,10L_120212,Cancel,8,,,-40,,,
2.00809,10L_120212,Cancel,11,,,-40,,,
2.008337,10L_120212,Insert,12,1.0,B,40,127900.0,G,
2.008395,10L_120212,Insert,13,1.0,A,40,128500.0,G,
2.283869,10L_120212,Cancel,13,,,-40,,,
2.283916,10L_120212,Insert,14,1.0,A,40,128600.0,G,
2.500045,10L_120212,Cancel,14,,,-40,,,
2.500102,10L_120212,Insert,15,1.0,A,40,128400.0,G,
2.52519,10L_120212,Trade,15,1.0,A,15,128400.0,,-193.0
2.525649,10L_120212,Trade,15,1.0,A,15,128400.0,,-193.0
2.525794,10L_120212,Cancel,12,,,-40,,,
2.525838,10L_120212,Cancel,15,,,-10,,,
2.525874,10L_120212,Insert,16,1.0,B,40,128400.0,G,
2.525928,10L_120212,Insert,17,1.0,A,40,129200.0,G,
2.525978,10L_120212,Hedge,18,0.0,B,15,128900.0,,
2.526045,10L_120212,Hedge,19,0.0,B,15,128900.0,,
2.755896,10L_120212,Cancel,16,,,-40,,,
2.755945,10L_120212,Cancel,17,,,-40,,,
2.75615,10L_120212,Insert,20,1.0,B,70,128800.0,G,
2.756352,10L_120212,Insert,21,1.0,A,23,129500.0,G,
3.041996,10L_120212,Cancel,21,,,-23,,,
3.04204,10L_120212,Insert,22,1.0,A,23,129400.0,G,
3.042974,10L_120212,Cancel,20,,,-70,,,
3.043011,10L_120212,Insert,23,1.0,B,70,129000.0,G,
3.252238,10L_120212,Trade,23,1.0,B,15,129000.0,,-194.0
3.253135,10L_120212,Cancel,23,,,-55,,,
3.253178,10L_120212,Cancel,22,,,-23,,,
3.253209,10L_120212,Insert,24,1.0,B,70,128600.0,G,
3.253255,10L_120212,Insert,25,1.0,A,23,129200.0,G,
