Time,Competitor,Operation,OrderId,Instrument,Side,Volume,Price,Lifespan,Fee
0.004111,AlphaPL_411325,Insert,1,1.0,A,100,127800.0,G,
0.005109,AlphaPL_411325,Insert,2,1.0,B,100,127700.0,G,
0.269935,AlphaPL_411325,Cancel,1,,,-100,,,
0.270811,AlphaPL_411325,Cancel,2,,,-100,,,
0.271764,AlphaPL_411325,Insert,3,1.0,A,100,128000.0,G,
0.272045,AlphaPL_411325,Insert,4,1.0,B,100,127800.0,G,
0.272045,AlphaPL_411325,Trade,4,1.0,B,15,127800.0,,383.0
0.460588,AlphaPL_411325,Cancel,4,,,-85,,,
0.461541,AlphaPL_411325,Insert,5,1.0,B,85,127900.0,G,
0.772957,AlphaPL_411325,Cancel,3,,,-100,,,
0.774712,AlphaPL_411325,Insert,6,1.0,A,115,128100.0,G,
0.775593,AlphaPL_411325,Trade,5,1.0,B,7,127900.0,,-90.0
1.020813,AlphaPL_411325,Cancel,5,,,-78,,,
1.02448,AlphaPL_411325,Insert,7,1.0,B,78,128000.0,G,
1.178784,AlphaPL_411325,Trade,7,1.0,B,38,128000.0,,-486.0
1.266851,AlphaPL_411325,Cancel,6,,,-115,,,
1.266997,AlphaPL_411325,Cancel,7,,,-40,,,
1.268804,AlphaPL_411325,Insert,8,1.0,A,160,128500.0,G,
1.268866,AlphaPL_411325,Insert,9,1.0,B,40,128200.0,G,
1.738281,AlphaPL_411325,Cancel,8,,,-160,,,
1.739626,AlphaPL_411325,Insert,10,1.0,A,160,128400.0,G,
1.767718,AlphaPL_411325,Trade,10,1.0,A,38,128400.0,,-488.0
2.00737,AlphaPL_411325,Cancel,10,,,-122,,,
2.007465,AlphaPL_411325,Cancel,9,,,-40,,,
2.008506,AlphaPL_411325,Insert,11,1.0,A,122,128300.0,G,
2.008568,AlphaPL_411325,Insert,12,1.0,B,78,128100.0,G,
2.282332,AlphaPL_411325,Cancel,11,,,-122,,,
2.284029,AlphaPL_411325,Insert,13,1.0,A,122,128400.0,G,
2.468146,AlphaPL_411325,Trade,13,1.0,A,35,128400.0,,-449.0
2.47846,AlphaPL_411325,Trade,13,1.0,A,27,128400.0,,-347.0
2.523517,AlphaPL_411325,Cancel,13,,,-60,,,
2.524145,AlphaPL_411325,Cancel,12,,,-78,,,
2.527292,AlphaPL_411325,Insert,14,1.0,A,60,128900.0,G,
