Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
0.000004,StanfordCardinal_666,Tick,0,0,0,0,,,0,0,0,OK
0.000004,Algorizz_12321,Tick,0,0,0,0,,,0,0,0,OK
0.000004,10L_120212,Tick,0,0,0,0,,,0,0,0,OK
0.000004,Ni_Club_202131,Tick,0,0,0,0,,,0,0,0,OK
0.000004,AlphaPL_411325,Tick,0,0,0,0,,,0,0,0,OK
0.000004,usctradergo_202201,Tick,0,0,0,0,,,0,0,0,OK
0.000004,SolowomanTrader_350014,Tick,0,0,0,0,,,0,0,0,OK
0.000004,PipInstallLiquidity_80271,Tick,0,0,0,0,,,0,0,0,OK
0.265928,StanfordCardinal_666,Tick,0,0,0,0,,127900,0,0,0,OK
0.265928,Algorizz_12321,Tick,0,0,0,0,,127900,0,0,0,OK
0.265928,10L_120212,Tick,0,0,0,0,,127900,0,0,0,OK
0.265928,Ni_Club_202131,Tick,0,0,0,0,,127900,0,0,0,OK
0.265928,AlphaPL_411325,Tick,0,0,0,0,,127900,0,0,0,OK
0.265928,usctradergo_202201,Tick,0,0,0,0,,127900,0,0,0,OK
0.265928,SolowomanTrader_350014,Tick,0,0,0,0,,127900,0,0,0,OK
0.265928,PipInstallLiquidity_80271,Tick,0,0,0,0,,127900,0,0,0,OK
0.456615,StanfordCardinal_666,Tick,0,0,0,0,127800,128000,0,0,0,OK
0.456615,Algorizz_12321,Tick,0,0,0,0,127800,128000,0,0,0,OK
0.456615,10L_120212,Tick,0,0,0,0,127800,128000,0,0,0,OK
0.456615,Ni_Club_202131,Tick,0,0,0,0,127800,128000,0,0,0,OK
0.456615,AlphaPL_411325,Tick,15,0,15,0,127800,128000,383,-1917383,-383,OK
0.456615,usctradergo_202201,Tick,0,0,0,0,127800,128000,0,0,0,OK
0.456615,SolowomanTrader_350014,Tick,0,0,0,0,127800,128000,0,0,0,OK
0.456615,PipInstallLiquidity_80271,Tick,0,0,0,0,127800,128000,0,0,0,OK
0.768935,StanfordCardinal_666,Tick,0,0,0,0,127800,128000,0,0,0,OK
0.768935,Algorizz_12321,Tick,0,0,0,0,127800,128000,0,0,0,OK
0.768935,10L_120212,Tick,0,0,0,0,127800,128000,0,0,0,OK
0.768935,Ni_Club_202131,Tick,0,0,0,0,127800,128000,0,0,0,OK
0.768935,AlphaPL_411325,Tick,15,0,15,0,127800,128000,383,-1917383,-383,OK
0.768935,usctradergo_202201,Tick,0,0,0,0,127800,128000,0,0,0,OK
0.768935,SolowomanTrader_350014,Tick,0,0,0,0,127800,128000,0,0,0,OK
0.768935,PipInstallLiquidity_80271,Tick,0,0,0,0,127800,128000,0,0,0,OK
1.016642,StanfordCardinal_666,Tick,0,0,0,0,127900,128000,0,0,0,OK
1.016642,Algorizz_12321,Tick,0,0,0,0,127900,128000,0,0,0,OK
1.016642,10L_120212,Tick,0,0,0,0,127900,128000,0,0,0,OK
1.016642,Ni_Club_202131,Tick,0,0,0,0,127900,128000,0,0,0,OK
1.016642,AlphaPL_411325,Tick,22,0,22,0,127900,128000,293,-2812593,1207,OK
1.016642,usctradergo_202201,Tick,0,0,0,0,127900,128000,0,0,0,OK
1.016642,SolowomanTrader_350014,Tick,0,0,0,0,127900,128000,0,0,0,OK
1.016642,PipInstallLiquidity_80271,Tick,0,0,0,0,127900,128000,0,0,0,OK
1.262842,StanfordCardinal_666,Tick,0,0,0,0,128000,128400,0,0,0,OK
1.262842,Algorizz_12321,Tick,0,0,0,0,128000,128400,0,0,0,OK
1.262842,10L_120212,Tick,0,0,0,0,128000,128400,0,0,0,OK
1.262842,Ni_Club_202131,Tick,0,0,0,0,128000,128400,0,0,0,OK
1.262842,AlphaPL_411325,Tick,60,0,60,0,128000,128400,-193,-7676107,15893,OK
1.262842,usctradergo_202201,Tick,0,0,0,0,128000,128400,0,0,0,OK
1.262842,SolowomanTrader_350014,Tick,0,0,0,0,128000,128400,0,0,0,OK
1.262842,PipInstallLiquidity_80271,Tick,0,0,0,0,128000,128400,0,0,0,OK
1.463749,StanfordCardinal_666,Tick,0,0,0,0,128000,128400,0,0,0,OK
1.463749,Algorizz_12321,Tick,0,0,0,0,128000,128400,0,0,0,OK
1.463749,10L_120212,Tick,0,0,0,0,128000,128400,0,0,0,OK
1.463749,Ni_Club_202131,Tick,0,0,0,0,128000,128400,0,0,0,OK
1.463749,AlphaPL_411325,Tick,60,0,60,0,128000,128400,-193,-7676107,15893,OK
1.463749,usctradergo_202201,Tick,0,0,0,0,128000,128400,0,0,0,OK
1.463749,SolowomanTrader_350014,Tick,0,0,0,0,128000,128400,0,0,0,OK
1.463749,PipInstallLiquidity_80271,Tick,0,0,0,0,128000,128400,0,0,0,OK
1.734311,StanfordCardinal_666,Tick,0,0,0,0,128000,128400,0,0,0,OK
1.734311,Algorizz_12321,Tick,0,0,0,0,128000,128400,0,0,0,OK
1.734311,10L_120212,Tick,0,0,0,0,128000,128400,0,0,0,OK
1.734311,Ni_Club_202131,Tick,0,0,0,0,128000,128400,0,0,0,OK
1.734311,AlphaPL_411325,Tick,60,0,60,0,128000,128400,-193,-7676107,15893,OK
1.734311,usctradergo_202201,Tick,0,0,0,0,128000,128400,0,0,0,OK
1.734311,SolowomanTrader_350014,Tick,0,0,0,0,128000,128400,0,0,0,OK
1.734311,PipInstallLiquidity_80271,Tick,0,0,0,0,128000,128400,0,0,0,OK
2.003196,StanfordCardinal_666,Tick,0,0,0,0,128400,128200,0,0,0,OK
2.003196,Algorizz_12321,Tick,0,0,0,0,128400,128200,0,0,0,OK
2.003196,10L_120212,Tick,0,0,0,0,128400,128200,0,0,0,OK
2.003196,Ni_Club_202131,Tick,0,0,0,0,128400,128200,0,0,0,OK
2.003196,AlphaPL_411325,Tick,60,38,22,0,128400,128200,-681,-2796419,28381,OK
2.003196,usctradergo_202201,Tick,0,0,0,0,128400,128200,0,0,0,OK
2.003196,SolowomanTrader_350014,Tick,0,0,0,0,128400,128200,0,0,0,OK
2.003196,PipInstallLiquidity_80271,Tick,0,0,0,0,128400,128200,0,0,0,OK
2.278156,StanfordCardinal_666,Tick,0,0,0,0,128400,128200,0,0,0,OK
2.278156,Algorizz_12321,Tick,0,0,0,0,128400,128200,0,0,0,OK
2.278156,10L_120212,Tick,0,0,0,0,128400,128200,0,0,0,OK
2.278156,Ni_Club_202131,Tick,0,0,0,0,128400,128200,0,0,0,OK
2.278156,AlphaPL_411325,Tick,60,38,22,0,128400,128200,-681,-2796419,28381,OK
2.278156,usctradergo_202201,Tick,0,0,0,0,128400,128200,0,0,0,OK
