Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
0.0,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.203,TraderOne,Tick,0,0,0,0,,127900,0,0,0,OK
0.484,TraderOne,Tick,10,0,10,-10,127800,128000,256,-256,-2256,OK
0.703,TraderOne,Tick,10,10,0,0,127900,128000,512,-1512,-1512,OK
1.015,TraderOne,Tick,10,10,0,0,127900,128000,512,-1512,-1512,OK
1.203,TraderOne,Tick,10,20,-10,10,128000,128100,384,-2384,-1384,OK
1.515,TraderOne,Tick,20,20,0,0,128100,128400,640,360,360,OK
1.719,TraderOne,Tick,20,20,0,0,128100,128400,640,360,360,OK
2.0,TraderOne,Tick,20,30,-10,10,128400,128200,512,488,-1512,OK
2.219,TraderOne,Tick,20,30,-10,10,128400,128200,512,488,-1512,OK
2.453,TraderOne,Tick,20,30,-10,10,128400,128200,512,488,-1512,OK
2.734,TraderOne,Tick,30,30,0,0,128400,128200,769,2231,2231,OK
3.0,TraderOne,Tick,40,30,10,-10,128900,129100,1027,2973,973,OK
3.297,TraderOne,Tick,40,40,0,0,129000,129000,1285,1715,1715,OK
3.5,TraderOne,Tick,40,40,0,0,129000,129100,1285,1715,1715,OK
3.765,TraderOne,Tick,50,40,10,-10,128900,128800,1543,3457,4457,OK
4.0,TraderOne,Tick,50,50,0,0,128900,128700,1801,5199,5199,OK
4.281,TraderOne,Tick,50,50,0,0,128900,128700,1801,5199,5199,OK
4.531,TraderOne,Tick,50,60,-10,10,128800,128700,2059,4941,3941,OK
4.765,TraderOne,Tick,50,60,-10,10,128800,128700,2059,4941,3941,OK
5.015,TraderOne,Tick,50,60,-10,10,128800,128700,2059,4941,3941,OK
5.25,TraderOne,Tick,50,60,-10,10,128800,128700,2059,4941,3941,OK
5.515,TraderOne,Tick,50,60,-10,10,128800,128700,2059,4941,3941,OK
5.797,TraderOne,Tick,50,60,-10,10,128800,128700,2059,4941,3941,OK
5.953,TraderOne,Tick,50,60,-10,10,128600,128400,2059,4941,2941,OK
6.297,TraderOne,Tick,50,60,-10,10,128600,128400,2059,4941,2941,OK
6.547,TraderOne,Tick,70,60,10,-10,128300,128400,1803,2197,1197,OK
6.703,TraderOne,Tick,70,60,10,-10,128300,128400,1803,2197,1197,OK
7.015,TraderOne,Tick,70,62,8,-8,128400,128400,1777,2023,2023,OK
7.281,TraderOne,Tick,70,62,8,-8,128400,128300,1777,2023,2823,OK
7.515,TraderOne,Tick,80,62,18,-18,128300,128300,1649,-849,-849,OK
7.797,TraderOne,Tick,80,62,18,-18,128300,128300,1649,-849,-849,OK
8.047,TraderOne,Tick,80,72,8,-8,128300,128300,1521,-2721,-2721,OK
8.203,TraderOne,Tick,80,74,6,-6,128400,128300,1495,-2895,-2295,OK
8.469,TraderOne,Tick,80,74,6,-6,128500,128500,1495,-2895,-2895,OK
8.75,TraderOne,Tick,90,74,16,-16,128500,128500,1752,-3152,-3152,OK
9.047,TraderOne,Tick,90,84,6,-6,128800,128500,1623,-6023,-4823,OK
9.203,TraderOne,Tick,90,84,6,-6,128800,128500,1623,-6023,-4823,OK
9.5,TraderOne,Tick,90,84,6,-6,128800,128900,1623,-6023,-6623,OK
9.734,TraderOne,Tick,90,84,6,-6,128800,128900,1623,-6023,-6623,OK
10.0,TraderOne,Tick,100,94,6,-6,129000,129100,1752,-8152,-8752,OK
10.234,TraderOne,Tick,100,104,-4,4,129200,129100,1623,-9023,-9423,OK
10.5,TraderOne,Tick,110,104,6,-6,129200,129100,1881,-9281,-8681,OK
10.812,TraderOne,Tick,110,114,-4,4,129300,129400,1752,-11152,-10752,OK
10.953,TraderOne,Tick,120,114,6,-6,129400,129400,2011,-12411,-12411,OK
11.265,TraderOne,Tick,120,114,6,-6,129400,129400,2011,-12411,-12411,OK
11.5,TraderOne,Tick,120,114,6,-6,129400,129400,2011,-12411,-12411,OK
11.703,TraderOne,Tick,120,114,6,-6,129400,129400,2011,-12411,-12411,OK
12.015,TraderOne,Tick,120,114,6,-6,129400,130000,2011,-12411,-13611,OK
12.25,TraderOne,Tick,130,124,6,-16,130000,130000,2140,1291460,-8540,OK
12.469,TraderOne,Tick,130,124,6,-6,130000,130000,2140,-9540,-9540,OK
12.765,TraderOne,Tick,140,134,6,-6,129600,130000,2270,-11470,-12670,OK
12.984,TraderOne,Tick,150,134,16,-16,129800,129900,2530,-11730,-13330,OK
13.281,TraderOne,Tick,160,136,24,-14,129700,129800,2374,-1308774,-13174,OK
13.453,TraderOne,Tick,160,146,14,-14,129600,129800,2633,-15033,-17833,OK
13.734,TraderOne,Tick,170,146,24,-24,129000,126700,2504,-44904,-40104,OK
14.0,TraderOne,Tick,170,156,14,-14,126900,127000,2763,-19163,-20563,OK
14.25,TraderOne,Tick,173,156,17,-17,126800,127000,2725,-19125,-22525,OK
14.5,TraderOne,Tick,173,156,17,-17,127000,127000,2725,-19125,-19125,OK
14.797,TraderOne,Tick,173,166,7,-7,127000,127100,2598,-22998,-23698,OK
15.047,TraderOne,Tick,183,166,17,-17,126600,127100,2852,-24252,-27652,OK
15.203,TraderOne,Tick,193,166,27,-27,126900,127100,3106,-22506,-27906,OK
15.469,TraderOne,Tick,193,166,27,-27,126800,127100,3106,-22506,-27906,OK
15.75,TraderOne,Tick,193,166,27,-27,126800,127100,3106,-22506,-27906,OK
16.062,TraderOne,Tick,193,166,27,-27,126800,127100,3106,-22506,-27906,OK
16.234,TraderOne,Tick,193,166,27,-27,126800,127100,3106,-22506,-27906,OK
16.515,TraderOne,Tick,203,176,27,-17,126600,126500,2853,-1290253,-22553,OK
16.781,TraderOne,Tick,203,186,17,-17,126400,126500,2727,-28127,-29827,OK
17.047,TraderOne,Tick,203,192,11,-11,126500,126500,2879,-28879,-28879,OK
17.312,TraderOne,Tick,203,202,1,-1,126400,126400,3132,-30132,-30132,OK
17.5,TraderOne,Tick,203,202,1,-1,126400,126400,3132,-30132,-30132,OK
17.812,TraderOne,Tick,203,212,-9,9,126500,126400,3006,-30006,-30906,OK
18.0,TraderOne,Tick,203,212,-9,9,126500,126400,3006,-30006,-30906,OK
18.219,TraderOne,Tick,213,212,1,-1,126600,126400,2879,-30879,-30679,OK
18.547,TraderOne,Tick,213,212,1,-1,126600,126400,2879,-30879,-30679,OK
18.75,TraderOne,Tick,213,212,1,-1,126600,126400,2879,-30879,-30679,OK
18.953,TraderOne,Tick,213,212,1,-1,126700,126400,2879,-30879,-30679,OK
19.265,TraderOne,Tick,213,212,1,-1,126700,126400,2879,-30879,-30679,OK
19.515,TraderOne,Tick,213,212,1,-1,126700,126300,2879,-30879,-30679,OK
19.812,TraderOne,Tick,213,222,-9,9,126700,126300,3132,-27132,-28932,OK
20.0,TraderOne,Tick,213,222,-9,9,126700,126300,3132,-27132,-28932,OK
20.219,TraderOne,Tick,213,222,-9,9,126700,126300,3132,-27132,-28932,OK
20.515,TraderOne,Tick,223,222,1,-1,126600,126300,3385,-28385,-28185,OK
20.719,TraderOne,Tick,223,222,1,-1,126600,126300,3385,-28385,-28185,OK
21.015,TraderOne,Tick,233,222,11,-1,126100,126000,3259,-1289259,-28159,OK
21.203,TraderOne,Tick,233,222,11,-11,126100,126000,3259,-30259,-29159,OK
21.515,TraderOne,Tick,233,232,1,-11,126000,126100,3133,1229867,-31233,OK
21.797,TraderOne,Tick,233,232,1,-1,126000,126100,3133,-33133,-33233,OK
22.047,TraderOne,Tick,233,232,1,-1,126000,126100,3133,-33133,-33233,OK
22.203,TraderOne,Tick,233,232,1,-1,126000,126100,3133,-33133,-33233,OK
22.484,TraderOne,Tick,243,232,11,-11,126100,126300,3007,-32007,-34207,OK
22.703,TraderOne,Tick,243,242,1,-1,126400,126500,2881,-33881,-33981,OK
